year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1950,8.704,686.9,13,52,0,112,41,43
1951,8.798,604.7,7,46,0,129,21,43
1952,8.216,777.5,16,52,0,124,39,72
1953,8.717,456.0,5,54,0,129,38,53
1954,7.803,796.6,3,28,0,110,35,26
1955,7.594,722.8,0,34,0,125,40,43
1956,6.929,710.2,0,29,0,114,52,50
1957,8.401,821.4,8,33,1,94,27,28
1958,8.174,919.1,3,39,0,116,27,57
1959,8.557,592.0,5,48,0,129,35,60
1960,8.396,707.2,3,34,0,94,31,59
1961,8.744,664.4,7,48,0,95,28,57
1962,7.009,595.8,7,42,0,130,45,80
1963,7.083,593.0,8,38,0,121,71,88
1964,8.124,697.8,11,46,0,103,47,57
1965,7.629,1008.8,4,22,0,105,31,57
1966,8.871,1105.9,1,29,0,81,22,48
1967,8.924,782.2,10,38,0,86,27,33
1968,8.332,786.2,1,31,0,100,35,38
1969,7.984,602.9,9,40,0,107,51,89
1970,8.008,893.0,1,36,0,103,44,79
1971,8.448,601.0,12,44,0,103,33,56
1972,8.042,602.8,10,34,0,114,25,21
1973,8.114,639.6,4,49,0,114,31,49
1974,9.16,995.1,4,31,1,52,6,20
1975,3.769,350.0,0,11,0,230,186,9
1976,0.0,0.0,0,0,0,366,366,0
1977,0.0,0.0,0,0,0,365,365,0
1978,0.0,0.0,0,0,0,365,365,0
1979,0.0,0.0,0,0,0,365,365,0
1980,0.0,0.0,0,0,0,366,366,0
1981,0.0,0.0,0,0,0,365,365,0
1982,0.0,0.0,0,0,0,365,365,0
1983,0.0,0.0,0,0,0,365,365,0
1984,0.0,0.0,0,0,0,366,366,0
1985,0.0,0.0,0,0,0,365,365,0
1986,0.0,0.0,0,0,0,365,365,0
1987,0.0,0.0,0,0,0,365,365,0
1988,0.0,0.0,0,0,0,366,366,0
1989,0.0,0.0,0,0,0,365,365,0
1990,0.0,0.0,0,0,0,365,365,0
1991,0.0,0.0,0,0,0,365,365,0
1992,0.0,0.0,0,0,0,366,366,0
1993,0.0,0.0,0,0,0,365,365,0
1994,8.604,509.0,18,52,0,146,125,9
1995,8.716,687.5,6,45,0,105,32,46
1996,7.153,618.9,2,28,0,131,56,54
1997,8.463,620.0,1,47,0,111,30,51
1998,8.943,687.1,11,46,0,104,38,43
1999,9.078,709.3,2,39,0,99,32,40
2000,9.531,775.1,8,41,0,79,19,19
2001,8.842,841.8,7,43,0,94,25,23
2002,9.411,907.4,4,48,0,93,27,24
2003,9.05,488.8,26,87,0,136,31,58
2004,8.616,593.1,4,39,0,117,36,57
2005,8.307,699.0,4,44,0,116,41,71
2006,8.864,731.6,14,52,0,117,41,71
2007,9.816,772.1,7,53,0,84,17,12
2008,9.417,669.1,9,54,0,105,13,21
2009,9.201,728.0,2,46,0,92,30,37
2010,8.071,656.1,9,40,0,123,59,96
2011,9.407,654.1,5,50,0,117,21,27
2012,9.193,750.0,9,56,0,94,24,43
2013,8.915,679.1,17,50,0,109,33,41
2014,10.227,592.2,5,40,0,84,8,8
2015,10.108,568.1,29,62,0,99,8,27
2016,9.548,779.9,6,56,0,95,20,18
2017,9.52,661.4,13,61,0,96,22,38
2018,10.872,601.4,24,88,0,90,12,24
2019,10.329,631.6,15,69,0,91,13,35
2020,9.991,667.7,11,56,0,89,8,8
2021,9.011,753.5,5,51,0,119,16,41
2022,10.541,587.8,17,73,0,94,15,17
2023,10.734,768.3,19,71,0,85,10,17
