year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1936,0.765,207.1,0,0,0,58,22,31
1937,-0.789,350.4,0,0,0,77,26,51
1938,1.001,255.0,0,0,0,56,24,52
1939,-0.57,295.1,0,0,0,71,34,69
1940,-3.902,215.3,0,0,0,73,47,70
1941,-2.487,228.7,0,0,0,69,39,68
1942,-4.937,182.5,0,0,0,79,62,78
1943,0.854,149.9,0,0,0,62,22,43
1944,-2.334,244.9,0,0,0,83,48,70
1945,-2.837,142.7,0,0,0,47,31,43
1947,-4.144,190.7,0,0,0,75,57,71
1948,1.134,266.6,0,0,0,53,20,31
1949,-0.227,154.1,0,0,0,65,28,57
1950,0.142,183.1,0,0,0,59,23,44
1951,-0.821,217.8,0,0,0,78,32,85
1952,-1.751,292.9,0,0,0,77,48,86
1953,-0.491,116.3,0,0,0,67,44,77
1954,-2.762,190.5,0,0,0,74,41,76
1955,-2.987,226.9,0,0,0,79,55,73
1956,-4.132,157.5,0,0,0,77,50,80
1957,1.338,304.5,0,0,0,50,18,47
1958,-2.07,262.9,0,0,0,75,44,79
1959,0.96,139.8,0,0,0,52,21,38
1960,-0.521,165.2,0,0,0,60,32,46
1961,1.098,222.3,0,0,0,56,29,54
1962,-2.502,281.0,0,0,0,78,43,67
1963,-4.959,165.9,0,0,0,77,62,84
1964,-1.995,140.7,0,0,0,78,45,68
1965,-2.112,306.7,0,0,0,79,56,89
1966,-0.821,205.0,0,0,0,57,29,46
1967,0.039,187.2,0,0,0,68,20,56
1968,-1.296,253.6,0,0,0,77,38,91
1969,-2.219,180.3,0,0,0,82,42,82
1970,-2.773,312.2,0,0,0,79,47,90
1971,-1.841,120.1,0,0,0,77,29,63
1972,-0.034,102.2,0,0,0,68,27,33
1973,-0.891,132.8,0,0,0,76,37,66
1974,1.423,166.7,0,0,0,56,18,44
1975,0.593,203.1,0,0,0,57,12,36
1976,-1.232,184.2,0,0,0,69,36,52
1977,0.639,257.5,0,0,0,48,29,44
1978,-1.3,257.3,0,0,0,72,45,72
1979,-3.089,222.0,0,0,0,79,48,79
1980,-0.922,239.6,0,0,0,74,33,66
1981,-0.717,298.1,0,0,0,66,43,71
1982,-0.91,192.5,0,0,0,70,28,88
1983,-0.718,300.7,0,0,0,62,31,68
1984,-1.962,300.9,0,0,0,86,45,89
1985,-3.926,192.2,0,0,0,75,48,82
1986,-3.747,288.8,0,0,0,82,54,90
1987,-4.052,312.0,0,0,0,79,56,87
1988,-0.41,486.5,0,0,0,69,28,64
1989,2.164,193.2,0,0,0,59,5,18
1990,2.053,240.1,0,0,0,48,11,28
1991,-0.499,175.4,0,0,0,60,33,56
1992,0.468,209.9,0,0,0,65,30,49
1993,-0.286,146.6,0,0,0,66,24,39
1994,0.149,286.3,0,0,0,66,23,57
1995,-0.769,369.6,0,0,0,75,27,64
1996,-2.918,144.8,0,0,0,78,49,73
1997,0.708,162.8,0,0,0,52,24,55
1998,1.173,140.0,0,0,0,49,19,34
1999,0.158,317.0,0,0,0,62,30,58
2000,0.285,321.3,0,0,0,65,25,61
2001,0.016,363.1,0,0,0,63,29,47
2002,1.377,270.7,0,0,0,61,15,0
2003,-0.594,116.1,0,0,0,67,37,0
2004,-0.815,199.8,0,0,0,69,41,0
2005,-1.157,164.8,0,0,0,67,46,0
2006,-2.214,204.1,0,0,0,79,50,0
2007,2.008,312.6,0,0,0,39,10,0
2008,0.865,258.0,0,0,0,59,17,0
2009,-1.453,291.2,0,0,0,78,38,81
2010,-2.624,216.8,0,0,0,73,53,77
2011,0.48,150.5,0,0,0,59,27,36
2012,-0.199,194.1,0,0,0,62,27,65
2013,-3.224,143.4,0,0,0,79,60,62
2014,2.269,144.9,0,0,0,52,14,28
2015,-0.454,201.7,0,0,0,79,40,67
2016,-0.559,298.7,0,0,0,74,32,58
2017,0.488,223.1,0,0,0,57,27,46
2018,-1.333,231.4,0,0,0,68,37,53
2019,1.143,241.8,0,0,0,58,22,47
2020,1.579,261.4,0,0,0,59,9,15
2021,0.026,205.5,0,0,0,67,35,52
2022,1.482,210.0,0,0,0,59,18,53
2023,1.168,300.7,0,0,0,50,26,36
2024,2.236,256.8,0,0,0,35,11,18
