id,name,Bundesland,height,latitude,longitude
2349,Hornisgrinde,Baden-Württemberg,1138,48.6136,8.2033
2444,Jena (Sternwarte),Thüringen,155,51.7954,12.9583
2480,Kahl/Main,Bayern,108,51.1806,8.49
2483,Kahler Asten,Nordrhein-Westfalen,839,48.917,9.6871
2486,Kaiserslautern,Rheinland-Pfalz,271,48.7701,10.7876
2497,Kall-Sistig,Nordrhein-Westfalen,505,51.318,10.1348
2559,Kempten,Bayern,705,54.3776,10.1424
2578,Kirchdorf/Poel,Mecklenburg-Vorpommern,14,50.224,10.0792
2597,"Kissingen, Bad",Bayern,282,49.7363,10.1781
2601,Kleiner Feldberg/Taunus,Hessen,822,53.9587,10.3293
2618,Kleiner Inselsberg,Thüringen,732,52.4045,13.2134
2629,Kleve,Nordrhein-Westfalen,46,48.1054,8.7548
2638,Klippeneck,Baden-Württemberg,974,51.5185,12.9065
2667,Köln-Bonn,Nordrhein-Westfalen,92,50.284,10.4456
2680,"Königshofen, Bad",Bayern,289,53.2279,9.6527
2704,Köthen (Anhalt),Sachsen-Anhalt,76,47.6652,11.0805
2712,Konstanz,Baden-Württemberg,428,47.6605,9.1634
2750,Kronach,Bayern,310,47.9077,7.702
2794,Kyritz,Brandenburg,40,53.9156,12.279
2812,Lahr,Baden-Württemberg,156,48.5122,9.7644
2814,Merklingen,Baden-Württemberg,687,51.9603,10.0157
2878,"Lauchstädt, Bad",Sachsen-Anhalt,117,49.5781,9.7142
2925,Leinefelde,Thüringen,356,48.4333,10.2333
2928,Leipzig-Holzhausen,Sachsen,138,51.392,12.3962
2932,Leipzig/Halle,Sachsen,131,51.1333,8.0348
2968,Köln-Stammheim,Nordrhein-Westfalen,43,50.9383,14.2094
3015,Lindenberg,Brandenburg,98,47.598,9.8878
3028,"Lippspringe, Bad",Nordrhein-Westfalen,157,51.6336,8.3945
3032,List auf Sylt,Schleswig-Holstein,25,50.4505,11.635
3034,"Lobenstein, Bad",Thüringen,496,50.5617,8.2386
3093,Lüchow,Niedersachsen,16,51.2131,7.6359
3126,Magdeburg,Sachsen-Anhalt,79,49.0643,9.582
3137,Mainz-Lerchenberg (ZDF),Rheinland-Pfalz,195,49.9798,8.1668
3147,Mallersdorf-Pfaffenberg-Oberlindhart,Bayern,390,50.1015,6.8009
3164,"Cölbe, Kr. Marburg-Biedenkopf",Hessen,187,50.6511,13.1469
3166,Marienberg,Sachsen,639,50.6621,7.9603
3196,Marnitz,Mecklenburg-Vorpommern,81,50.7335,10.8815
3234,Klipphausen-Garsebach,Sachsen,158,52.2147,8.3833
3271,Metten,Bayern,314,49.507,6.5215
3340,Montabaur,Rheinland-Pfalz,265,51.7209,9.8351
3366,Mühldorf,Bayern,406,53.6,10.4833
3376,Müncheberg,Brandenburg,63,48.1632,11.5429
3379,München-Stadt,Bayern,515,48.1441,11.6
3402,Münsingen-Apfelstetten,Baden-Württemberg,755,51.9494,7.5906
3426,"Muskau, Bad",Sachsen,127,48.5675,8.7179
3442,"Nauheim, Bad",Hessen,149,53.5468,13.1914
3490,"Neuenahr, Bad-Ahrweiler",Rheinland-Pfalz,111,47.8333,7.5833
3513,Neuhaus am Rennweg,Thüringen,845,47.976,8.9101
3527,Neukirchen-Hauptschwenda,Hessen,500,54.3609,10.6015
3612,Nienburg,Niedersachsen,25,48.8253,10.5067
3621,Reimlingen,Bayern,435,50.8294,6.6601
3631,Norderney,Niedersachsen,12,53.7647,8.6584
3668,Nürnberg,Bayern,314,48.6321,9.3261
3679,Kiefersfelden-Gach,Bayern,518,50.7005,10.7256
3730,Oberstdorf,Bayern,806,49.128,9.3525
3739,Oberviechtach,Bayern,596,51.6018,9.5383
3761,Öhringen,Baden-Württemberg,276,50.1029,8.7468
3811,Oschatz,Sachsen,150,52.2553,8.0534
3875,Parsberg/Oberpfalz-Eglwang,Bayern,549,48.5805,13.4152
3927,Pfullendorf,Baden-Württemberg,630,49.2511,8.4415
3939,Pirmasens,Rheinland-Pfalz,385,50.4818,12.13
3946,Plauen,Sachsen,387,54.1603,10.4345
3987,Potsdam,Brandenburg,81,52.3822,13.0622
4024,Putbus,Mecklenburg-Vorpommern,40,52.6691,7.9544
4032,Quedlinburg,Sachsen-Anhalt,142,51.3895,11.5412
4036,Querfurt-Mühle Lodersleben,Sachsen-Anhalt,204,53.7276,9.9071
4063,Rahden-Kleinendorf,Nordrhein-Westfalen,41,47.9091,11.1048
4094,"Weingarten, Kr. Ravensburg",Baden-Württemberg,441,51.6243,7.182
4104,Regensburg,Bayern,365,47.7238,12.874
4169,Rheinau-Memprechtshofen,Baden-Württemberg,131,52.2887,7.3866
4175,Rheinfelden,Baden-Württemberg,283,48.9726,8.3301
4177,Rheinstetten,Baden-Württemberg,116,48.1479,9.4596
4261,Rosenheim,Bayern,442,54.0826,12.1228
4271,Rostock-Warnemünde,Mecklenburg-Vorpommern,5,53.1289,9.3398
4275,Rotenburg (Wümme),Niedersachsen,32,49.2511,11.0934
4287,Rothenburg ob der Tauber,Bayern,415,52.1038,8.1809
4300,Rottweil,Baden-Württemberg,589,49.8502,7.871
4301,"Kreuznach, Bad",Rheinland-Pfalz,102,47.731,12.661
4336,Saarbrücken-Ensheim,Saarland,319,49.217,7.0199
4371,"Salzuflen, Bad",Nordrhein-Westfalen,135,52.8568,11.1319
4393,Sankt Peter-Ording,Schleswig-Holstein,5,49.4672,7.2036
4445,Wernigerode-Schierke,Sachsen-Anhalt,609,50.5679,11.8041
4464,Schleiz,Thüringen,501,54.5275,9.5487
4466,Schleswig,Schleswig-Holstein,43,54.5227,9.5649
4501,Schmücke,Thüringen,938,50.4988,12.4534
4508,Schneifelforsthaus,Rheinland-Pfalz,649,48.7859,8.6451
4592,Schwandorf,Bayern,356,51.9639,11.1208
4605,Schwarzburg,Thüringen,277,51.5167,14.35
4625,Schwerin,Mecklenburg-Vorpommern,59,54.5166,9.142
4651,Seesen,Niedersachsen,189,53.9278,10.2993
4703,Sigmaringen-Laiz,Baden-Württemberg,581,47.5776,9.7404
4745,Soltau,Niedersachsen,75,51.3691,10.88
