year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1972;null;null;null;null;null
1973;null;null;null;null;null
1974;null;null;null;null;null
1975;null;null;null;null;null
1976;null;null;null;null;null
1977;null;null;null;null;null
1978;null;null;null;null;null
1979;8.89;2;39;0;24
1980;8.15;2;24;0;26
1981;9.09;6;42;2;35
1982;9.28;2;44;0;29
1983;9.8;11;67;2;31
1984;8.52;4;27;0;24
1985;8.3;6;43;0;44
1986;8.8;4;52;0;38
1987;8.34;5;42;0;46
1988;9.66;8;37;0;13
1989;9.74;2;39;1;27
1990;9.79;4;43;0;23
1991;8.76;4;40;0;29
1992;10.28;25;55;1;19
1993;9.59;5;54;0;34
1994;11.04;24;59;1;13
1995;9.7;10;52;0;31
1996;7.91;4;39;1;65
1997;9.51;2;51;0;23
1998;10.18;10;49;1;22
1999;10.26;5;51;2;25
2000;10.84;12;60;0;18
2001;9.84;8;54;2;19
2002;10.67;10;56;0;26
2003;10.03;18;83;0;27
2004;null;null;null;null;null
2005;null;null;null;null;null
2006;null;null;null;null;null
2007;null;null;null;null;null
2008;null;null;null;null;null
2009;9.97;3;47;0;37
2010;9.01;16;43;1;54
2011;10.28;12;62;0;23
2012;10.14;15;62;1;25
2013;9.69;18;53;2;34
2014;11.08;7;40;0;5
2015;11.22;35;61;5;4
2016;10.54;6;60;0;16
2017;10.46;15;63;1;27
2018;11.54;22;84;1;21
2019;11.25;18;71;2;13
2020;10.88;7;56;0;9
2021;null;null;null;null;null
2022;null;null;null;null;null
2023;null;null;null;null;null
