endDate;heatDays;summerDays;tropicalNights;iceDays
1951-07-19;null;null;null;null
1952-07-19;null;null;null;null
1953-07-19;null;null;null;null
1954-07-19;null;null;null;null
1955-07-19;null;null;null;null
1956-07-19;null;null;null;null
1957-07-19;null;null;null;null
1958-07-19;null;null;null;null
1959-07-19;null;null;null;null
1960-07-19;null;null;null;null
1961-07-19;null;null;null;null
1962-07-19;null;null;null;null
1963-07-19;null;null;null;null
1964-07-19;null;null;null;null
1965-07-19;null;null;null;null
1966-07-19;null;null;null;null
1967-07-19;2;15;0;22
1968-07-19;3;22;0;19
1969-07-19;1;16;0;21
1970-07-19;0;14;0;33
1971-07-19;0;10;0;37
1972-07-19;1;9;0;30
1973-07-19;0;13;0;29
1974-07-19;0;9;0;10
1975-07-19;0;12;0;9
1976-07-19;1;17;0;18
1977-07-19;0;12;0;17
1978-07-19;0;4;0;35
1979-07-19;0;13;0;32
1980-07-19;1;5;0;29
1981-07-19;0;14;0;40
1982-07-19;0;14;0;34
1983-07-19;1;18;0;21
1984-07-19;3;10;0;40
1985-07-19;0;9;0;41
1986-07-19;0;17;0;44
1987-07-19;1;20;0;40
1988-07-19;0;7;0;20
1989-07-19;null;null;null;null
1990-07-19;null;null;null;null
1991-07-19;null;null;null;null
1992-07-19;null;null;null;null
1993-07-19;null;null;null;null
1994-07-19;null;null;null;null
1995-07-19;0;14;0;21
1996-07-19;0;16;0;35
1997-07-19;0;4;0;14
1998-07-19;0;11;0;17
1999-07-19;1;15;0;18
2000-07-19;2;23;0;22
2001-07-19;0;14;0;20
2002-07-19;4;22;0;16
2003-07-19;8;27;0;27
2004-07-19;1;13;0;28
2005-07-19;1;20;0;34
2006-07-19;4;26;0;30
2007-07-19;5;24;0;3
2008-07-19;4;24;0;6
2009-07-19;1;16;0;26
2010-07-19;6;25;0;37
2011-07-19;2;16;0;19
2012-07-19;3;26;0;25
2013-07-19;3;18;0;27
2014-07-19;2;17;0;2
2015-07-19;9;27;0;16
2016-07-19;0;16;0;12
2017-07-19;4;29;0;27
2018-07-19;1;18;0;19
2019-07-19;6;30;0;13
2020-07-19;1;14;0;3
2021-07-19;8;28;0;19
2022-07-19;2;27;0;4
2023-07-19;5;21;0;12
2024-07-19;4;27;0;7
