year,month,averageTemperature,totalPrecipitation,averageSnowCover
1949,1,1.403,37.0,9.0
1949,2,1.175,39.2,2.0
1949,3,2.345,49.0,45.0
1949,4,10.647,46.0,0.0
1949,5,12.529,80.2,0.0
1949,6,13.997,27.7,0.0
1949,7,17.4,29.1,0.0
1949,8,16.671,80.4,0.0
1949,9,15.627,26.0,0.0
1949,10,10.048,19.5,0.0
1949,11,3.613,49.4,0.0
1949,12,2.958,89.9,47.0
1950,1,-0.69,47.7,3.0
1950,2,2.961,94.0,50.0
1950,3,4.548,13.4,22.0
1950,4,6.927,82.2,0.0
1950,5,13.871,73.9,0.0
1950,6,17.63,57.7,0.0
1950,7,18.068,99.2,0.0
1950,8,16.929,79.7,0.0
1950,9,13.09,62.7,0.0
1950,10,7.532,38.0,6.0
1950,11,4.49,102.8,0.0
1950,12,-1.897,57.6,108.0
1951,1,2.374,52.6,36.0
1951,2,2.121,30.5,6.0
1951,3,2.516,64.2,15.0
1951,4,6.857,33.6,0.0
1951,5,11.926,52.8,0.0
1951,6,15.36,121.0,0.0
1951,7,17.377,39.8,0.0
1951,8,17.09,73.2,0.0
1951,9,14.14,37.8,0.0
1951,10,6.777,28.3,0.0
1951,11,6.503,65.8,0.0
1951,12,1.706,42.5,1.0
1952,1,0.294,77.8,143.0
1952,2,-0.214,43.4,93.0
1952,3,3.174,102.8,7.0
1952,4,10.133,29.3,0.0
1952,5,12.497,86.6,0.0
1952,6,15.333,48.3,0.0
1952,7,18.765,39.8,0.0
1952,8,17.606,44.6,0.0
1952,9,10.287,102.1,0.0
1952,10,7.294,87.1,0.0
1952,11,2.143,110.9,4.0
1952,12,-0.052,55.5,20.0
1953,1,-0.7,43.9,202.0
1953,2,0.661,33.4,107.0
1953,3,4.894,6.5,0.0
1953,4,8.823,23.0,0.0
1953,5,13.645,39.4,0.0
1953,6,16.61,105.6,0.0
1953,7,17.048,119.8,0.0
1953,8,15.79,27.7,0.0
1953,9,13.1,22.2,0.0
1953,10,9.79,44.3,0.0
1953,11,4.29,6.2,0.0
1953,12,2.742,23.8,0.0
1954,1,-3.171,70.6,127.0
1954,2,-2.461,25.2,13.0
1954,3,4.358,16.3,0.0
1954,4,6.5,46.1,0.0
1954,5,12.142,38.5,0.0
1954,6,15.98,50.1,0.0
1954,7,14.742,108.0,0.0
1954,8,15.777,91.8,0.0
1954,9,13.18,157.2,0.0
1954,10,9.897,72.4,0.0
1954,11,3.807,34.1,0.0
1954,12,3.532,92.5,15.0
1955,1,-2.542,55.4,88.0
1955,2,-2.232,59.5,236.0
1955,3,0.765,33.5,107.0
1955,4,7.147,31.9,0.0
1955,5,10.1,76.8,0.0
1955,6,14.987,105.5,0.0
1955,7,17.397,78.0,0.0
1955,8,16.123,61.1,0.0
1955,9,13.04,54.8,0.0
1955,10,7.652,38.4,0.0
1955,11,3.26,15.9,0.0
1955,12,2.297,82.1,1.0
1956,1,0.184,49.9,22.0
1956,2,-9.248,14.9,260.0
1956,3,3.542,39.9,3.0
1956,4,5.973,81.3,4.0
1956,5,12.913,43.7,0.0
1956,6,13.613,120.6,0.0
1956,7,17.206,265.9,0.0
1956,8,14.019,96.3,0.0
1956,9,13.293,48.9,0.0
1956,10,8.261,76.2,0.0
1956,11,2.823,45.9,0.0
1956,12,2.077,31.8,48.0
1957,1,0.303,56.9,21.0
1957,2,4.021,83.2,7.0
1957,3,6.639,49.1,0.0
