year;annualtemp
1937;9.46
1938;9.34
1939;8.84
1940;6.92
1941;8.03
1942;8.4
1943;9.65
1944;8.96
1945;null
1946;null
1947;9.36
1948;null
1949;9.65
1950;9.78
1951;9.85
1952;8.98
1953;9.56
1954;8.38
1955;8.71
1956;7.62
1957;9
1958;8.86
1959;9.06
1960;8.79
1961;9.27
1962;7.76
1963;7.91
1964;8.27
1965;8.09
1966;9.4
1967;9.42
1968;8.97
1969;8.54
1970;8.52
1971;9.08
1972;8.62
1973;8.93
1974;9.59
1975;9.43
1976;9.2
1977;9.3
1978;8.26
1979;8.74
1980;7.75
1981;8.94
1982;9.09
1983;9.67
1984;8.7
1985;8.2
1986;8.9
1987;8.63
1988;9.97
1989;NaN
1990;NaN
1991;NaN
1992;NaN
1993;NaN
1994;10.75
1995;9.58
1996;8.37
1997;9.52
1998;10.01
1999;10.14
2000;10.73
2001;9.78
2002;10.66
2003;10.03
2004;9.77
2005;9.53
2006;9.88
2007;11.04
2008;10.67
2009;10.5
2010;9.36
2011;10.65
2012;10.5
2013;10.25
2014;11.36
2015;11.44
2016;10.72
2017;10.71
2018;11.85
2019;11.55
2020;11.21
