year;annualtemp
1937;8.73
1938;8.52
1939;8.36
1940;7.09
1941;7.76
1942;8.5
1943;9.4
1944;7.88
1945;8.95
1946;9.11
1947;9.55
1948;9.21
1949;9.22
1950;9.09
1951;9.15
1952;7.99
1953;8.87
1954;7.58
1955;7.75
1956;6.87
1957;8.72
1958;8.33
1959;9.04
1960;8.42
1961;9.11
1962;7.15
1963;7.55
1964;8.04
1965;7.49
1966;8.27
1967;8.35
1968;7.92
1969;8.03
1970;7.59
1971;8.38
1972;8.33
1973;7.91
1974;8.76
1975;8.61
1976;8.45
1977;8.87
1978;7.79
1979;8.33
1980;7.62
1981;8.28
1982;9.58
1983;9.52
1984;8.62
1985;8.5
1986;8.87
1987;8.38
1988;9.24
1989;9.4
1990;9.52
1991;8.19
1992;null
1993;8.46
1994;9.93
1995;8.35
1996;7.99
1997;8.83
1998;8.73
1999;8.63
2000;9.41
2001;8.65
2002;9.65
2003;9.32
2004;8.51
2005;7.97
2006;8.61
2007;9.47
2008;9.63
2009;9.42
2010;8.72
2011;9.83
2012;9.27
2013;9.15
2014;10.39
2015;10.02
2016;9.68
2017;9.4
2018;10.68
2019;10.32
2020;10.18
