year;annualtemp
1937;7.53
1938;7.24
1939;7.33
1940;6.34
1941;5.92
1942;6.92
1943;7.44
1944;null
1945;null
1946;null
1947;null
1948;7.15
1949;null
1950;7.39
1951;7.46
1952;5.98
1953;null
1954;5.69
1955;5.73
1956;null
1957;6.63
1958;null
1959;6.84
1960;null
1961;7.42
1962;null
1963;5.85
1964;6.6
1965;5.98
1966;7.36
1967;7.43
1968;6.6
1969;6.82
1970;6.6
1971;7.15
1972;6.28
1973;6.25
1974;6.95
1975;7.32
1976;6.51
1977;6.95
1978;5.55
1979;6.57
1980;6.2
1981;6.93
1982;7.49
1983;7.51
1984;6.27
1985;6.69
1986;7.65
1987;NaN
1988;NaN
1989;NaN
1990;NaN
1991;NaN
1992;NaN
1993;NaN
1994;8.21
1995;6.84
1996;6.01
1997;7.16
1998;7.26
1999;7.38
2000;7.89
2001;7.34
2002;8.08
2003;7.74
2004;7.1
2005;6.68
2006;7.25
2007;8.07
2008;8.14
2009;7.85
2010;6.88
2011;8
2012;7.68
2013;7.8
2014;8.77
2015;8.5
2016;8.1
2017;7.96
2018;8.6
2019;8.75
2020;8.11
