year;annualtemp
1955;6.27
1956;5.54
1957;7.16
1958;7.1
1959;null
1960;6.96
1961;null
1962;NaN
1963;6.14
1964;6.61
1965;6.28
1966;7.69
1967;7.85
1968;7.14
1969;6.57
1970;6.61
1971;7.14
1972;6.86
1973;null
1974;7.91
1975;7.8
1976;7.06
1977;7.6
1978;6.53
1979;null
1980;null
1981;7.07
1982;7.33
1983;7.82
1984;6.73
1985;6.38
1986;7.12
1987;7.16
1988;7.66
1989;7.93
1990;7.95
1991;6.96
1992;8.24
1993;7.45
1994;8.78
1995;7.69
1996;6.09
1997;7.51
1998;8.16
1999;8.13
2000;8.88
2001;7.65
2002;8.69
2003;8.07
2004;7.46
2005;7.46
2006;7.95
2007;8.85
2008;8.55
2009;8.26
2010;7.12
2011;8.62
2012;8.37
2013;8.12
2014;9.48
2015;9.69
2016;8.8
2017;8.75
2018;9.68
2019;9.55
2020;9.23
