year;annualtemp
1948;9.46
1949;9.6
1950;9.66
1951;9.77
1952;8.93
1953;9.48
1954;8.37
1955;8.56
1956;8.02
1957;9.52
1958;9.47
1959;9.63
1960;9.55
1961;10.1
1962;8.37
1963;8.54
1964;8.82
1965;8.51
1966;9.93
1967;10.1
1968;9.45
1969;8.91
1970;9.04
1971;9.72
1972;9.21
1973;9.55
1974;10.2
1975;10.03
1976;9.67
1977;10.12
1978;9.1
1979;9.38
1980;8.47
1981;9.82
1982;9.8
1983;10.37
1984;9.18
1985;8.8
1986;9.44
1987;9.13
1988;10.29
1989;10.46
1990;10.57
1991;9.38
1992;10.9
1993;10.05
1994;11.06
1995;9.85
1996;8.19
1997;9.43
1998;10.14
1999;10.12
2000;10.98
2001;9.86
2002;10.76
2003;10.37
2004;10.18
2005;9.89
2006;10.24
2007;11.35
2008;11.17
2009;10.83
2010;9.61
2011;11.01
2012;10.86
2013;10.54
2014;11.78
2015;11.9
2016;11.23
2017;11.22
2018;12.13
2019;12.06
2020;11.49
