year;annualtemp
1937;7.09
1938;7.02
1939;6.89
1940;5.31
1941;null
1942;null
1943;7.66
1944;6.29
1945;null
1946;null
1947;null
1948;null
1949;null
1950;null
1951;null
1952;null
1953;7.61
1954;6.13
1955;6.37
1956;6.23
1957;7.78
1958;null
1959;null
1960;7.4
1961;8.19
1962;6.36
1963;6.75
1964;7.04
1965;6.61
1966;7.85
1967;8.22
1968;7.73
1969;7.31
1970;7.18
1971;7.97
1972;7.29
1973;7.38
1974;7.84
1975;8.03
1976;7.55
1977;null
1978;null
1979;NaN
1980;NaN
1981;NaN
1982;NaN
1983;NaN
1984;5.11
1985;5.16
1986;5.28
1987;5.32
1988;5.99
1989;6.53
1990;6.39
1991;5.3
1992;6.74
1993;5.94
1994;7.44
1995;5.97
1996;4.98
1997;null
1998;6.41
1999;6.39
2000;7.25
2001;6.54
2002;7.16
2003;6.81
2004;6.03
2005;5.72
2006;6.44
2007;7.53
2008;7.43
2009;6.85
2010;5.79
2011;7.19
2012;6.79
2013;6.57
2014;7.84
2015;7.71
2016;7.23
2017;7.12
2018;7.62
2019;null
2020;null
