year;annualtemp
1949;10.33
1950;9.98
1951;10.56
1952;9.47
1953;9.74
1954;8.71
1955;8.83
1956;8.12
1957;9.65
1958;9.9
1959;9.58
1960;null
1961;9.9
1962;8.52
1963;8.19
1964;8.78
1965;8.56
1966;9.9
1967;9.69
1968;9.08
1969;8.81
1970;9.03
1971;9.66
1972;9.29
1973;9.75
1974;10.41
1975;10.1
1976;9.55
1977;9.86
1978;8.92
1979;9.49
1980;10.28
1981;NaN
1982;9.59
1983;10.61
1984;9.28
1985;8.86
1986;9.22
1987;9.05
1988;10.13
1989;10.33
1990;10.38
1991;9.13
1992;10.77
1993;9.59
1994;11.05
1995;9.98
1996;8.68
1997;9.63
1998;10.34
1999;10.25
2000;11.21
2001;10.33
2002;10.96
2003;10.32
2004;9.94
2005;9.56
2006;10.01
2007;11.31
2008;11.1
2009;10.61
2010;9.46
2011;10.52
2012;10.75
2013;10.49
2014;11.61
2015;11.6
2016;11.04
2017;11.06
2018;11.83
2019;11.87
2020;11.32
