year;annualtemp
1937;null
1938;6.47
1939;null
1940;null
1941;5.66
1942;6.83
1943;7.25
1944;6.17
1945;null
1946;6.98
1947;7.1
1948;7.36
1949;7.26
1950;7.54
1951;7.5
1952;6.61
1953;7.5
1954;6.51
1955;6.59
1956;5.95
1957;7.34
1958;7.03
1959;7.42
1960;6.75
1961;7.26
1962;5.67
1963;6.19
1964;6.87
1965;6.09
1966;7.39
1967;7.43
1968;6.99
1969;null
1970;null
1971;7.3
1972;6.87
1973;6.84
1974;7.4
1975;7.68
1976;7.2
1977;7.73
1978;6.38
1979;6.9
1980;6.47
1981;7.17
1982;7.56
1983;7.85
1984;6.93
1985;7.15
1986;6.95
1987;7.37
1988;8.1
1989;8.25
1990;7.7
1991;7.09
1992;8.25
1993;7.61
1994;9.13
1995;7.71
1996;6.97
1997;8.14
1998;8.21
1999;8.2
2000;8.77
2001;8.53
2002;NaN
2003;NaN
2004;NaN
2005;NaN
2006;NaN
2007;NaN
2008;8.66
2009;8.41
2010;7.64
2011;8.89
2012;8.53
2013;8.41
2014;9.39
2015;9.11
2016;8.82
2017;8.83
2018;9.42
2019;9.42
2020;8.77
