year;annualtemp
1949;7.24
1950;7.44
1951;7.48
1952;6.21
1953;6.89
1954;5.93
1955;6.12
1956;5.65
1957;7.09
1958;6.89
1959;6.93
1960;6.62
1961;7.03
1962;5.2
1963;5.36
1964;6.2
1965;5.67
1966;6.99
1967;7.04
1968;6.56
1969;6.37
1970;6.19
1971;6.82
1972;6.43
1973;6.26
1974;6.92
1975;7.15
1976;6.39
1977;7.25
1978;6.19
1979;6.87
1980;6.24
1981;6.98
1982;7.21
1983;7.47
1984;6.33
1985;6.52
1986;6.53
1987;6.58
1988;7.39
1989;7.63
1990;7.42
1991;6.57
1992;7.77
1993;7.17
1994;8.6
1995;7.1
1996;6.4
1997;7.37
1998;7.47
1999;7.65
2000;8.32
2001;7.76
2002;8.38
2003;7.87
2004;7.18
2005;6.97
2006;7.51
2007;8.36
2008;8.43
2009;8.64
2010;7.64
2011;8.76
2012;8.67
2013;8.58
2014;9.75
2015;9.29
2016;9.17
2017;8.94
2018;9.67
2019;9.67
2020;9.07
