year;annualtemp
1937;null
1938;null
1939;null
1940;null
1941;null
1942;null
1943;null
1944;null
1945;null
1946;8.97
1947;8.74
1948;null
1949;9.6
1950;9.25
1951;9.58
1952;8.5
1953;9.3
1954;7.94
1955;8.37
1956;7.5
1957;9.02
1958;9.01
1959;9.01
1960;8.94
1961;9.3
1962;null
1963;7.72
1964;8.29
1965;7.48
1966;9.09
1967;8.88
1968;8.27
1969;8.09
1970;8.28
1971;8.79
1972;8.54
1973;8.6
1974;9.06
1975;9.13
1976;8.42
1977;8.99
1978;7.82
1979;null
1980;null
1981;null
1982;8.75
1983;9.83
1984;NaN
1985;NaN
1986;NaN
1987;NaN
1988;NaN
1989;NaN
1990;9.16
1991;8.07
1992;9.55
1993;8.53
1994;10.12
1995;NaN
1996;NaN
1997;NaN
1998;NaN
1999;NaN
2000;NaN
2001;NaN
2002;NaN
2003;NaN
2004;NaN
2005;NaN
2006;NaN
2007;NaN
2008;10.31
2009;10.02
2010;8.61
2011;10.11
2012;10.06
2013;9.61
2014;10.91
2015;11.05
2016;10.32
2017;10.34
2018;11.26
2019;11.07
2020;10.17
