year;annualtemp
1937;10.14
1938;null
1939;9.67
1940;7.67
1941;null
1942;null
1943;10.28
1944;9.58
1945;10.54
1946;10.2
1947;10.03
1948;10.35
1949;10.48
1950;10.46
1951;10.32
1952;9.54
1953;10.17
1954;8.98
1955;9.17
1956;8.5
1957;9.87
1958;9.86
1959;9.9
1960;9.71
1961;10.37
1962;8.74
1963;8.81
1964;9.14
1965;8.74
1966;10.23
1967;10.36
1968;9.78
1969;9.29
1970;9.46
1971;10.02
1972;9.58
1973;9.93
1974;10.65
1975;10.7
1976;10.09
1977;10.28
1978;9.08
1979;9.4
1980;8.69
1981;10
1982;null
1983;10.41
1984;9.18
1985;8.59
1986;9.17
1987;8.85
1988;10.03
1989;10.07
1990;10.1
1991;9.15
1992;10.66
1993;9.65
1994;11.16
1995;10.02
1996;8.44
1997;8.83
1998;10.41
1999;10.5
2000;11.32
2001;10.29
2002;11.07
2003;10.68
2004;10.25
2005;10.04
2006;10.4
2007;11.53
2008;11.09
2009;10.86
2010;9.59
2011;10.86
2012;10.98
2013;10.46
2014;11.7
2015;12.01
2016;11.19
2017;11.3
2018;12.22
2019;12.07
2020;11.42
