year;annualtemp
1937;9.9
1938;9.78
1939;9.37
1940;7.07
1941;8.02
1942;8.21
1943;9.32
1944;9
1945;null
1946;null
1947;null
1948;9.97
1949;10.16
1950;10.09
1951;10.35
1952;9.45
1953;9.77
1954;8.76
1955;8.84
1956;7.95
1957;9.41
1958;9.2
1959;9.17
1960;8.95
1961;9.47
1962;8.07
1963;7.88
1964;8.56
1965;8.21
1966;9.56
1967;9.83
1968;9.22
1969;8.64
1970;8.85
1971;9.32
1972;9.1
1973;9.32
1974;10.06
1975;10.01
1976;9.34
1977;9.93
1978;9.03
1979;9.18
1980;8.55
1981;9.89
1982;9.6
1983;10.25
1984;9.19
1985;8.64
1986;9.09
1987;8.74
1988;10.01
1989;10.2
1990;null
1991;null
1992;null
1993;null
1994;10.83
1995;NaN
1996;NaN
1997;NaN
1998;10.43
1999;10.46
2000;11.41
2001;10.31
2002;10.8
2003;10.48
2004;9.98
2005;9.73
2006;10.35
2007;11.16
2008;11.04
2009;10.63
2010;9.55
2011;10.67
2012;10.98
2013;10.64
2014;11.75
2015;11.67
2016;11.15
2017;11.07
2018;11.96
2019;11.91
2020;11.36
