year;annualtemp
1956;7.44
1957;9.08
1958;8.81
1959;9.28
1960;9.06
1961;9.62
1962;7.75
1963;8.07
1964;8.45
1965;8.15
1966;8.85
1967;8.79
1968;8.27
1969;8.27
1970;8.18
1971;8.61
1972;8.75
1973;8.43
1974;9.28
1975;9.2
1976;8.84
1977;9.73
1978;8.43
1979;9.03
1980;8.09
1981;8.67
1982;9.61
1983;9.51
1984;8.75
1985;8.63
1986;9.12
1987;8.8
1988;9.84
1989;9.89
1990;9.92
1991;9.21
1992;10.02
1993;9.62
1994;11.02
1995;9.41
1996;8.39
1997;9.86
1998;9.96
1999;9.76
2000;10.57
2001;9.88
2002;10.69
2003;10.48
2004;9.69
2005;9.22
2006;9.96
2007;10.81
2008;10.79
2009;10.46
2010;9.62
2011;10.99
2012;10.38
2013;10.22
2014;11.52
2015;11.08
2016;10.75
2017;10.49
2018;11.54
2019;11.11
2020;10.9
