year;annualtemp
1949;8.62
1950;8.49
1951;8.73
1952;7.57
1953;8.1
1954;7.02
1955;7.04
1956;6.52
1957;8.14
1958;8.25
1959;8.25
1960;7.85
1961;8.23
1962;6.81
1963;6.9
1964;7.17
1965;6.84
1966;8.15
1967;8.25
1968;7.82
1969;7.55
1970;7.61
1971;8.35
1972;7.98
1973;8.28
1974;8.85
1975;8.73
1976;7.96
1977;8.62
1978;7.4
1979;8.04
1980;7.31
1981;8.38
1982;8.29
1983;9.06
1984;7.81
1985;7.56
1986;7.88
1987;7.79
1988;8.56
1989;8.93
1990;8.87
1991;7.75
1992;9.3
1993;8.72
1994;10.11
1995;8.73
1996;7.51
1997;8.46
1998;9.11
1999;9.19
2000;10.14
2001;9.33
2002;9.93
2003;9.33
2004;8.71
2005;8.54
2006;9.05
2007;9.93
2008;9.76
2009;9.13
2010;8.38
2011;9.25
2012;9.41
2013;9.17
2014;10.34
2015;10.3
2016;9.74
2017;9.55
2018;10.32
2019;10.59
2020;9.84
