year;annualtemp
1950;9.7
1951;9.75
1952;8.8
1953;9.26
1954;7.88
1955;7.99
1956;7.5
1957;9.23
1958;9.04
1959;8.99
1960;8.56
1961;9.48
1962;7.64
1963;7.93
1964;7.96
1965;7.57
1966;8.96
1967;9.22
1968;8.57
1969;8.27
1970;7.92
1971;8.94
1972;7.96
1973;8.44
1974;8.99
1975;9.22
1976;8.07
1977;8.77
1978;7.45
1979;8.34
1980;7.42
1981;8.82
1982;8.57
1983;9.49
1984;7.75
1985;7.9
1986;8.15
1987;8.07
1988;8.73
1989;9.46
1990;null
1991;8.62
1992;10.17
1993;9.43
1994;10.77
1995;9.22
1996;7.98
1997;9.18
1998;9.63
1999;9.63
2000;10.9
2001;9.97
2002;10.59
2003;10.2
2004;9.1
2005;9.18
2006;10.03
2007;10.74
2008;9.79
2009;9.64
2010;8.64
2011;9.82
2012;10.03
2013;9.4
2014;10.55
2015;10.92
2016;10.12
2017;10.02
2018;10.71
2019;11.01
2020;10.36
