year;annualtemp
1937;9.83
1938;9.64
1939;10.04
1940;8.04
1941;null
1942;null
1943;9.31
1944;null
1945;null
1946;null
1947;null
1948;9.44
1949;9.69
1950;9.71
1951;10.11
1952;8.53
1953;9.57
1954;8.5
1955;8.42
1956;7.66
1957;9.04
1958;9.37
1959;9.46
1960;9.4
1961;9.65
1962;8.13
1963;8.63
1964;9.17
1965;8.76
1966;10.07
1967;10.07
1968;9.41
1969;8.98
1970;9.17
1971;9.54
1972;9.42
1973;9.49
1974;10.38
1975;10.4
1976;9.09
1977;9.6
1978;8.52
1979;9.35
1980;8.63
1981;9.61
1982;9.84
1983;10.15
1984;9.15
1985;8.86
1986;9.01
1987;8.85
1988;9.67
1989;10
1990;9.83
1991;9.1
1992;10.63
1993;9.85
1994;11.25
1995;10.13
1996;9
1997;9.93
1998;10.55
1999;10.6
2000;11.72
2001;11
2002;11.59
2003;10.77
2004;10.23
2005;9.59
2006;10
2007;10.92
2008;11.06
2009;10.68
2010;9.73
2011;10.52
2012;11.03
2013;10.69
2014;11.61
2015;11.55
2016;11.07
2017;10.95
2018;11.6
2019;11.97
2020;11.15
