year;annualtemp
1939;5.34
1940;3.95
1941;4.21
1942;5.14
1943;null
1944;null
1945;null
1946;null
1947;null
1948;4.79
1949;4.72
1950;4.91
1951;6.25
1952;5.08
1953;NaN
1954;4.33
1955;4.74
1956;3.98
1957;5.68
1958;5.52
1959;5.75
1960;4.91
1961;null
1962;4.06
1963;4.5
1964;5.28
1965;4.32
1966;5.19
1967;5.51
1968;4.93
1969;4.62
1970;4.49
1971;4.97
1972;4.22
1973;4.42
1974;4.67
1975;5.33
1976;4.58
1977;5.01
1978;4.21
1979;4.43
1980;3.7
1981;4.78
1982;5.36
1983;5.84
1984;4.24
1985;4.72
1986;4.84
1987;4.76
1988;5.3
1989;6.18
1990;5.88
1991;4.66
1992;6.23
1993;5.39
1994;6.51
1995;5.33
1996;4.43
1997;6.06
1998;5.84
1999;5.89
2000;6.76
2001;5.94
2002;null
2003;5.97
2004;5.42
2005;4.94
2006;5.95
2007;6.35
2008;5.82
2009;5.63
2010;4.55
2011;6.57
2012;5.94
2013;5.67
2014;6.71
2015;6.92
2016;6.27
2017;6.26
2018;6.52
2019;6.63
2020;6.7
