year;annualtemp
1939;null
1940;2.54
1941;2.82
1942;3.93
1943;5.11
1944;3.07
1945;null
1946;4.65
1947;4.86
1948;4.95
1949;4.59
1950;4.51
1951;4.61
1952;3.23
1953;4.87
1954;3.07
1955;3.45
1956;2.58
1957;4.52
1958;4.3
1959;4.97
1960;null
1961;5.1
1962;2.82
1963;3.64
1964;4.41
1965;3.04
1966;3.77
1967;null
1968;NaN
1969;2.73
1970;2.08
1971;null
1972;3.16
1973;null
1974;2.55
1975;null
1976;NaN
1977;NaN
1978;NaN
1979;NaN
1980;NaN
1981;NaN
1982;NaN
1983;NaN
1984;NaN
1985;NaN
1986;NaN
1987;NaN
1988;NaN
1989;NaN
1990;NaN
1991;NaN
1992;NaN
1993;3.62
1994;4.71
1995;3.48
1996;3.11
1997;4.12
1998;3.61
1999;4.45
2000;5.09
2001;3.81
2002;4.58
2003;4.69
2004;3.39
2005;2.97
2006;4.45
2007;4.41
2008;4.16
2009;3.87
2010;2.81
2011;5.27
2012;4.12
2013;4
2014;5.29
2015;5.28
2016;4.37
2017;4.28
2018;5.52
2019;5.02
2020;5.24
