year;annualtemp
1929;null
1930;null
1931;2.31
1932;3.44
1933;1.98
1934;4.6
1935;2.79
1936;3.56
1937;3.71
1938;3.61
1939;3.49
1940;2.11
1941;2.35
1942;3.31
1943;4.28
1944;2.5
1945;null
1946;null
1947;4.46
1948;4.46
1949;4.31
1950;4.25
1951;4.5
1952;2.87
1953;4.53
1954;2.78
1955;2.79
1956;2.06
1957;3.97
1958;3.85
1959;4.49
1960;3.69
1961;4.84
1962;2.71
1963;3.38
1964;3.82
1965;2.56
1966;3.43
1967;3.91
1968;3.61
1969;3.4
1970;3
1971;3.91
1972;3.9
1973;3.24
1974;3.61
1975;4.13
1976;3.62
1977;4.32
1978;3.31
1979;3.5
1980;2.56
1981;3.24
1982;4.5
1983;4.42
1984;3.26
1985;3.08
1986;3.86
1987;3.29
1988;3.8
1989;4.97
1990;4.62
1991;3.77
1992;4.76
1993;4.31
1994;5.11
1995;3.87
1996;3.28
1997;4.36
1998;4.01
1999;4.15
2000;5.07
2001;4.04
2002;5.03
2003;4.95
2004;3.79
2005;3.48
2006;5
2007;4.74
2008;4.5
2009;4.34
2010;3.3
2011;5.48
2012;4.45
2013;4.3
2014;null
2015;5.61
2016;4.74
2017;4.66
2018;5.84
2019;5.5
2020;5.58
