year;annualtemp
1937;8.23
1938;7.61
1939;7.08
1940;5.11
1941;5.91
1942;6.2
1943;7.46
1944;6.67
1945;null
1946;6.87
1947;7.1
1948;7.48
1949;7.77
1950;7.64
1951;null
1952;null
1953;null
1954;null
1955;6.3
1956;5.51
1957;7.01
1958;7.07
1959;6.96
1960;6.82
1961;7.42
1962;5.9
1963;6.03
1964;6.39
1965;6.23
1966;7.48
1967;7.62
1968;6.81
1969;6.31
1970;6.58
1971;7
1972;6.44
1973;6.98
1974;8.01
1975;7.9
1976;7.04
1977;7.74
1978;6.7
1979;7.27
1980;6.5
1981;7.6
1982;7.2
1983;7.64
1984;6.59
1985;6.27
1986;6.92
1987;6.49
1988;7.72
1989;7.84
1990;7.99
1991;6.8
1992;8.12
1993;7.32
1994;8.8
1995;7.69
1996;5.87
1997;7.31
1998;8.2
1999;8.34
2000;null
2001;7.96
2002;8.63
2003;7.83
2004;7.64
2005;7.87
2006;8.4
2007;9.32
2008;9.17
2009;8.82
2010;7.55
2011;9.06
2012;8.95
2013;8.44
2014;9.83
2015;10.14
2016;9.34
2017;9.38
2018;10.04
2019;10.06
2020;9.75
