year;annualtemp
1951;7.05
1952;6.03
1953;6.68
1954;5.34
1955;5.63
1956;5.69
1957;6.79
1958;6.28
1959;6.53
1960;6.26
1961;7.02
1962;5.02
1963;5.59
1964;6.1
1965;5.21
1966;6.43
1967;6.53
1968;6.03
1969;5.9
1970;5.87
1971;6.4
1972;6.01
1973;6.29
1974;6.96
1975;7.11
1976;6.06
1977;6.69
1978;5.62
1979;6.14
1980;5.38
1981;6.32
1982;6.65
1983;6.78
1984;5.64
1985;5.62
1986;6.04
1987;6.19
1988;6.77
1989;7.57
1990;7.07
1991;6.03
1992;7.49
1993;6.65
1994;7.96
1995;6.62
1996;5.59
1997;6.88
1998;7.08
1999;6.9
2000;7.87
2001;7.13
2002;7.81
2003;7.48
2004;6.9
2005;6.37
2006;7.15
2007;7.96
2008;7.69
2009;7.39
2010;6.46
2011;8.06
2012;7.6
2013;7.41
2014;8.44
2015;8.55
2016;8.04
2017;7.77
2018;8.19
2019;8.48
2020;8.14
