year;annualtemp
1930;null
1931;null
1932;null
1933;null
1934;null
1935;null
1936;null
1937;null
1938;null
1939;null
1940;null
1941;null
1942;8.47
1943;9.67
1944;9.1
1945;null
1946;9.96
1947;9.91
1948;10.01
1949;10.27
1950;10.38
1951;10.53
1952;9.59
1953;10
1954;8.75
1955;8.95
1956;8.44
1957;9.91
1958;10.09
1959;10.04
1960;9.61
1961;10.18
1962;8.46
1963;8.84
1964;9.1
1965;8.67
1966;9.92
1967;10.14
1968;9.78
1969;9.34
1970;9.33
1971;10.17
1972;9.17
1973;9.4
1974;10.06
1975;10.2
1976;9.46
1977;10.08
1978;8.69
1979;9.51
1980;8.62
1981;9.89
1982;9.64
1983;10.41
1984;9.01
1985;8.97
1986;9.18
1987;9.22
1988;9.77
1989;10.25
1990;10.16
1991;9.01
1992;10.55
1993;9.85
1994;10.96
1995;9.69
1996;8.46
1997;9.66
1998;10.15
1999;9.91
2000;11.3
2001;null
2002;10.69
2003;10.43
2004;null
2005;9.52
2006;9.95
2007;null
2008;11.11
2009;10.74
2010;9.77
2011;10.77
2012;11.17
2013;10.6
2014;11.61
2015;11.79
2016;11.14
2017;11.09
2018;11.71
2019;11.99
2020;11.14
