year;annualtemp
1937;8.47
1938;null
1939;null
1940;null
1941;null
1942;null
1943;null
1944;7.54
1945;null
1946;null
1947;null
1948;null
1949;null
1950;null
1951;null
1952;null
1953;null
1954;null
1955;null
1956;null
1957;null
1958;null
1959;8.06
1960;7.62
1961;8.62
1962;6.62
1963;6.87
1964;7.69
1965;7.16
1966;7.75
1967;8.07
1968;7.47
1969;7.29
1970;7.25
1971;7.49
1972;7.37
1973;7.72
1974;7.91
1975;7.82
1976;7.7
1977;8.33
1978;null
1979;null
1980;null
1981;null
1982;8.04
1983;null
1984;7.92
1985;8.02
1986;8.26
1987;2.19
1988;8.19
1989;8.42
1990;8.23
1991;7.94
1992;8.34
1993;8.11
1994;9.19
1995;7.8
1996;7.55
1997;8.55
1998;8.34
1999;8.3
2000;8.73
2001;8.33
2002;9.23
2003;9.04
2004;8.21
2005;7.83
2006;8.49
2007;9.04
2008;9.43
2009;9.36
2010;8.68
2011;10.11
2012;9.48
2013;9.38
2014;10.55
2015;10.39
2016;9.95
2017;9.7
2018;10.44
2019;10.02
2020;10.02
