year;annualtemp
1971;8.72
1972;7.68
1973;8.17
1974;8.94
1975;8.72
1976;8.5
1977;8.59
1978;7.35
1979;7.86
1980;7.54
1981;8.4
1982;NaN
1983;NaN
1984;NaN
1985;NaN
1986;NaN
1987;7.73
1988;8.62
1989;8.81
1990;8.48
1991;7.5
1992;8.99
1993;8.33
1994;9.74
1995;8.53
1996;7.67
1997;8.93
1998;9.13
1999;9.1
2000;9.78
2001;9.37
2002;9.78
2003;9.72
2004;8.89
2005;8.65
2006;9.41
2007;10.17
2008;9.61
2009;9.51
2010;8.8
2011;10.13
2012;9.93
2013;9.7
2014;10.37
2015;9.85
2016;9.53
2017;9.6
2018;10.07
2019;10.15
2020;9.56
