year;annualtemp
1949;null
1950;5.69
1951;5.6
1952;4.59
1953;5.91
1954;4.55
1955;4.78
1956;null
1957;5.79
1958;5.56
1959;6.24
1960;5.54
1961;6.72
1962;4.49
1963;4.97
1964;5.81
1965;4.75
1966;5.73
1967;5.94
1968;5.73
1969;5.75
1970;5.24
1971;6.1
1972;5.94
1973;5.54
1974;5.96
1975;6.23
1976;5.96
1977;6.2
1978;null
1979;null
1980;null
1981;null
1982;6.43
1983;6.46
1984;5.18
1985;5.44
1986;5.86
1987;5.47
1988;6.12
1989;6.7
1990;6.46
1991;5.66
1992;6.53
1993;6.28
1994;7.38
1995;5.59
1996;5.35
1997;6.17
1998;5.25
1999;5.07
2000;5.76
2001;5.36
2002;6.17
2003;5.75
2004;5.11
2005;4.55
2006;5.52
2007;6.03
2008;5.78
2009;5.78
2010;5.17
2011;6.91
2012;5.91
2013;5.77
2014;7.09
2015;6.75
2016;6.53
2017;6.33
2018;7.11
2019;6.85
2020;6.79
