year;annualtemp
1937;11.01
1938;null
1939;null
1940;null
1941;null
1942;9.24
1943;10.56
1944;null
1945;null
1946;null
1947;null
1948;11.45
1949;11.37
1950;11.04
1951;11.26
1952;10.35
1953;10.66
1954;9.48
1955;9.78
1956;9.09
1957;10.65
1958;10.81
1959;10.93
1960;10.49
1961;11.26
1962;9.72
1963;9.61
1964;10.1
1965;9.7
1966;11.15
1967;11.26
1968;10.67
1969;10.15
1970;10.21
1971;11
1972;10.47
1973;10.8
1974;11.42
1975;11.35
1976;10.43
1977;10.99
1978;9.56
1979;10.13
1980;9.31
1981;10.86
1982;10.54
1983;11.43
1984;10
1985;9.61
1986;10.11
1987;9.84
1988;10.93
1989;10.59
1990;10.47
1991;9.21
1992;10.89
1993;10.15
1994;11.95
1995;10.81
1996;9.42
1997;10.55
1998;11.18
1999;11.16
2000;12.17
2001;11.19
2002;11.92
2003;11.39
2004;10.85
2005;10.75
2006;11.3
2007;12.25
2008;12.03
2009;11.65
2010;10.5
2011;11.58
2012;11.86
2013;11.34
2014;12.45
2015;12.51
2016;12.03
2017;12.04
2018;12.85
2019;12.96
2020;12.43
