year;annualtemp
1962;null
1963;-1.38
1964;-0.41
1965;-1.95
1966;-0.97
1967;null
1968;null
1969;null
1970;null
1971;null
1972;null
1973;null
1974;null
1975;null
1976;null
1977;-0.45
1978;0.31
1979;NaN
1980;NaN
1981;-1.16
1982;-0.17
1983;0.43
1984;-1.2
1985;-0.77
1986;-0.43
1987;-0.57
1988;-0.13
1989;0.75
1990;0.43
1991;-0.29
1992;0.65
1993;0.02
1994;1.12
1995;-0.34
1996;-0.36
1997;0.96
1998;0.01
1999;0.05
2000;0.81
2001;0.04
2002;0.82
2003;0.81
2004;-0.11
2005;-0.56
2006;0.85
2007;0.86
2008;0.58
2009;0.38
2010;-0.58
2011;1.7
2012;0.61
2013;0.44
2014;1.31
2015;1.58
2016;0.87
2017;0.77
2018;1.63
2019;1.31
2020;1.53
