year;annualtemp
1952;7.86
1953;8.94
1954;8
1955;8.24
1956;7.29
1957;9.12
1958;8.62
1959;9.35
1960;8.94
1961;9.58
1962;7.87
1963;8.12
1964;8.86
1965;8.12
1966;8.71
1967;8.81
1968;8.37
1969;8.17
1970;8.15
1971;8.57
1972;9.06
1973;8.78
1974;9.64
1975;9.32
1976;9.41
1977;9.69
1978;8.65
1979;9.22
1980;8.28
1981;8.79
1982;9.87
1983;9.73
1984;8.94
1985;8.85
1986;9.33
1987;8.99
1988;10.02
1989;9.85
1990;9.83
1991;9.2
1992;9.97
1993;9.77
1994;10.97
1995;9.38
1996;9.07
1997;10.04
1998;9.87
1999;9.68
2000;10.38
2001;9.68
2002;10.61
2003;10.35
2004;9.63
2005;9.25
2006;9.79
2007;10.63
2008;10.42
2009;10.19
2010;9.43
2011;10.48
2012;9.92
2013;10
2014;11.31
2015;10.87
2016;10.59
2017;10.25
2018;11.28
2019;10.97
2020;10.77
