year;annualtemp
1962;7.1
1963;7.58
1964;7.79
1965;7.16
1966;8.56
1967;8.59
1968;7.7
1969;7.73
1970;7.93
1971;7.99
1972;8.1
1973;7.88
1974;8.76
1975;9.36
1976;NaN
1977;8.81
1978;7.33
1979;8.33
1980;7.41
1981;8.05
1982;8.79
1983;8.52
1984;7.95
1985;7.89
1986;7.83
1987;8
1988;8.77
1989;8.83
1990;9.19
1991;8.27
1992;9.58
1993;NaN
1994;10.34
1995;8.98
1996;8.3
1997;9.37
1998;9.66
1999;9.43
2000;10.45
2001;9.92
2002;10.43
2003;9.65
2004;9.13
2005;9.06
2006;9.29
2007;10.46
2008;10.44
2009;10.12
2010;9.38
2011;9.95
2012;10.12
2013;10.09
2014;11.27
2015;10.59
2016;10.54
2017;10.25
2018;11.22
2019;11.22
2020;10.72
