year;annualtemp
1947;9.35
1948;9.28
1949;9.57
1950;9.17
1951;9.37
1952;8.5
1953;9.11
1954;8.07
1955;8.39
1956;7.45
1957;9.11
1958;8.63
1959;9.37
1960;8.77
1961;9.91
1962;7.8
1963;8.07
1964;8.96
1965;8.19
1966;8.73
1967;9.02
1968;8.6
1969;8.54
1970;8.29
1971;8.81
1972;8.72
1973;8.54
1974;8.86
1975;8.81
1976;9.04
1977;9.26
1978;8.35
1979;8.6
1980;7.93
1981;8.46
1982;9.27
1983;9.37
1984;8.43
1985;8.58
1986;9.08
1987;9.02
1988;9.74
1989;10.03
1990;9.84
1991;9.34
1992;10
1993;9.36
1994;10.24
1995;8.68
1996;8.43
1997;9.47
1998;9.28
1999;9.09
2000;9.64
2001;9.1
2002;9.87
2003;9.93
2004;9.01
2005;8.63
2006;9.44
2007;10.06
2008;9.45
2009;9.6
2010;9.24
2011;10.76
2012;9.91
2013;9.75
2014;10.89
2015;10.78
2016;10.39
2017;10.32
2018;11.11
2019;10.52
2020;10.54
