year;annualtemp
1964;9.66
1965;9.17
1966;10.62
1967;10.58
1968;9.9
1969;9.61
1970;10.02
1971;10.55
1972;10.23
1973;10.44
1974;11.04
1975;11
1976;10.25
1977;10.63
1978;9.66
1979;9.95
1980;9.21
1981;10.62
1982;10.4
1983;11.24
1984;9.77
1985;9.43
1986;9.88
1987;9.6
1988;10.72
1989;10.77
1990;11.05
1991;9.86
1992;11.45
1993;10.35
1994;11.86
1995;10.56
1996;9.02
1997;10.23
1998;10.98
1999;10.89
2000;11.89
2001;10.86
2002;11.59
2003;11.28
2004;10.67
2005;10.52
2006;11
2007;12
2008;11.86
2009;11.49
2010;10.31
2011;11.54
2012;11.76
2013;11.19
2014;12.28
2015;12.31
2016;11.77
2017;11.91
2018;12.73
2019;12.75
2020;12.16
