year;annualtemp
1954;5.3
1955;5.41
1956;4.54
1957;6.66
1958;6.36
1959;7.12
1960;6.45
1961;7.16
1962;5.19
1963;5.72
1964;6.27
1965;5.41
1966;6.39
1967;6.55
1968;6.31
1969;6.11
1970;5.52
1971;6.55
1972;6.26
1973;5.97
1974;6.5
1975;6.55
1976;6.34
1977;6.83
1978;5.9
1979;null
1980;NaN
1981;NaN
1982;NaN
1983;NaN
1984;null
1985;6.52
1986;6.72
1987;6.46
1988;7.23
1989;7.56
1990;7.56
1991;6.56
1992;7.36
1993;7.14
1994;8.12
1995;6.69
1996;6.44
1997;7.52
1998;7.2
1999;7.01
2000;7.84
2001;6.96
2002;7.99
2003;7.79
2004;6.93
2005;6.49
2006;7.41
2007;8.03
2008;7.79
2009;7.55
2010;6.7
2011;8.39
2012;7.64
2013;7.52
2014;8.72
2015;8.46
2016;7.91
2017;7.81
2018;8.56
2019;8.28
2020;8.27
