year;annualtemp
1966;null
1967;9.83
1968;8.99
1969;8.61
1970;8.76
1971;9.41
1972;9.2
1973;9.33
1974;10.17
1975;10.13
1976;9.42
1977;9.51
1978;8.51
1979;9.09
1980;8.52
1981;9.73
1982;9.57
1983;10.09
1984;9.02
1985;8.42
1986;8.91
1987;8.67
1988;9.52
1989;10.03
1990;10.18
1991;9.26
1992;10.72
1993;9.7
1994;11.21
1995;10.15
1996;8.5
1997;9.66
1998;10.32
1999;10.45
2000;11.21
2001;10.29
2002;11.07
2003;10.69
2004;10.16
2005;10.03
2006;10.34
2007;11.47
2008;11.18
2009;10.9
2010;9.62
2011;11
2012;11.02
2013;10.54
2014;11.73
2015;11.96
2016;11.1
2017;11.1
2018;12.12
2019;11.98
2020;11.45
