year;annualtemp
1951;8.95
1952;7.43
1953;8.23
1954;7.41
1955;7.88
1956;7
1957;8.28
1958;8.2
1959;8.9
1960;8.42
1961;8.7
1962;7.17
1963;7.74
1964;8.01
1965;7.36
1966;8.74
1967;8.7
1968;7.96
1969;7.91
1970;7.87
1971;8.11
1972;8.09
1973;8.07
1974;8.74
1975;9.11
1976;8.51
1977;9
1978;7.53
1979;8.31
1980;7.6
1981;8.24
1982;9.02
1983;8.66
1984;7.99
1985;7.81
1986;7.8
1987;7.72
1988;8.69
1989;8.65
1990;8.85
1991;8.1
1992;9.51
1993;9.11
1994;10.49
1995;9.31
1996;8.4
1997;9.54
1998;9.68
1999;9.33
2000;10.27
2001;9.9
2002;10.35
2003;9.91
2004;9.12
2005;9
2006;9.21
2007;10.59
2008;10.48
2009;10.22
2010;9.5
2011;10.19
2012;10.31
2013;10.15
2014;11.17
2015;10.47
2016;10.45
2017;10.27
2018;11.16
2019;11.18
2020;10.56
