year;annualtemp
1937;8.82
1938;8.48
1939;8.03
1940;6.66
1941;7.11
1942;7.41
1943;8.56
1944;7.47
1945;null
1946;NaN
1947;8.28
1948;8.6
1949;null
1950;NaN
1951;8.71
1952;7.81
1953;8.52
1954;7.47
1955;7.71
1956;6.87
1957;8.53
1958;8.11
1959;8.49
1960;8.24
1961;8.93
1962;7.25
1963;7.27
1964;7.69
1965;7.53
1966;9.04
1967;9.28
1968;8.86
1969;8.74
1970;8.54
1971;9.19
1972;8.8
1973;8.73
1974;9.57
1975;9.7
1976;9.25
1977;9.85
1978;8.71
1979;9.24
1980;8.39
1981;9.22
1982;9.87
1983;10.39
1984;9.05
1985;9
1986;9.56
1987;8.68
1988;9.99
1989;10.18
1990;10.02
1991;8.79
1992;10.15
1993;9.44
1994;11.04
1995;9.45
1996;7.98
1997;9.71
1998;10.03
1999;10.01
2000;10.8
2001;9.81
2002;10.67
2003;10.43
2004;9.77
2005;9.56
2006;9.98
2007;10.83
2008;10.66
2009;9.78
2010;8.84
2011;10.12
2012;9.79
2013;9.57
2014;10.83
2015;10.8
2016;10.41
2017;10.08
2018;11.22
2019;10.77
2020;10.66
