year;annualtemp
1949;null
1950;null
1951;null
1952;null
1953;null
1954;null
1955;8.65
1956;8.12
1957;9.41
1958;9.24
1959;9.46
1960;null
1961;9.46
1962;8.07
1963;8.12
1964;null
1965;8.27
1966;9.65
1967;9.74
1968;9.28
1969;8.96
1970;8.9
1971;null
1972;null
1973;null
1974;null
1975;null
1976;9.75
1977;null
1978;null
1979;null
1980;8.29
1981;9.41
1982;9.66
1983;9.99
1984;9.18
1985;8.5
1986;9.44
1987;8.65
1988;10.09
1989;10.13
1990;10.38
1991;9.28
1992;10.79
1993;null
1994;NaN
1995;NaN
1996;NaN
1997;NaN
1998;NaN
1999;NaN
2000;NaN
2001;NaN
2002;NaN
2003;NaN
2004;NaN
2005;NaN
2006;NaN
2007;NaN
2008;NaN
2009;10.36
2010;9.33
2011;10.76
2012;10.42
2013;10.01
2014;null
2015;11.58
2016;10.83
2017;10.84
2018;12.15
2019;11.68
2020;11.23
