year;annualtemp
1947;null
1948;9.7
1949;10.11
1950;9.99
1951;10.02
1952;8.93
1953;9.7
1954;8.35
1955;8.6
1956;7.98
1957;9.34
1958;9.4
1959;9.47
1960;9.17
1961;9.72
1962;8.2
1963;8.11
1964;8.55
1965;7.89
1966;9.63
1967;9.68
1968;9.18
1969;8.76
1970;8.6
1971;9.31
1972;9.04
1973;9.18
1974;9.89
1975;9.85
1976;9.06
1977;9.47
1978;8.76
1979;9.26
1980;8.24
1981;9.66
1982;9.57
1983;10.22
1984;9.18
1985;8.7
1986;9.48
1987;8.96
1988;10.14
1989;10.53
1990;10.66
1991;9.57
1992;11.09
1993;10.11
1994;11.1
1995;9.88
1996;8.21
1997;9.57
1998;10.21
1999;10.33
2000;11.16
2001;10
2002;10.75
2003;10.57
2004;9.95
2005;9.88
2006;10.34
2007;11.41
2008;11.11
2009;10.7
2010;9.41
2011;11.01
2012;10.93
2013;10.28
2014;11.64
2015;11.83
2016;11.05
2017;11.12
2018;12.06
2019;11.94
2020;11.42
