year;annualtemp
1937;9.48
1938;8.83
1939;null
1940;7.77
1941;8.67
1942;null
1943;null
1944;null
1945;null
1946;null
1947;9.71
1948;9.44
1949;9.71
1950;9.81
1951;9.69
1952;9.63
1953;9.41
1954;8.9
1955;8.99
1956;8.14
1957;9.46
1958;9.49
1959;10.02
1960;9.72
1961;10.48
1962;8.84
1963;8.42
1964;9.39
1965;8.81
1966;9.94
1967;9.71
1968;9.34
1969;9.05
1970;9.13
1971;9.33
1972;9.04
1973;9.51
1974;10.26
1975;9.93
1976;9.64
1977;10.11
1978;9.09
1979;9.77
1980;8.96
1981;9.8
1982;10.23
1983;10.35
1984;9.32
1985;9.23
1986;9.49
1987;9.48
1988;10.61
1989;10.47
1990;10.91
1991;10.06
1992;10.88
1993;10.09
1994;11.55
1995;10.18
1996;9.15
1997;10.37
1998;10.48
1999;10.21
2000;11.06
2001;10.34
2002;10.94
2003;10.92
2004;10.27
2005;10.09
2006;10.6
2007;11.03
2008;10.79
2009;10.99
2010;9.94
2011;11.23
2012;10.72
2013;10.06
2014;11.81
2015;11.44
2016;11.2
2017;11.21
2018;12.3
2019;11.67
2020;11.79
