year;annualtemp
1964;6.84
1965;6.2
1966;7.29
1967;7.22
1968;7.17
1969;7
1970;6.44
1971;7.25
1972;null
1973;null
1974;null
1975;null
1976;null
1977;8.3
1978;6.88
1979;7.29
1980;6.65
1981;7.23
1982;8.53
1983;8.61
1984;7.33
1985;6.84
1986;7.88
1987;7.56
1988;8.33
1989;8.57
1990;8.23
1991;null
1992;8.64
1993;8.07
1994;9.59
1995;8.03
1996;7.52
1997;8.82
1998;8.58
1999;8.76
2000;9.46
2001;null
2002;NaN
2003;NaN
2004;NaN
2005;NaN
2006;NaN
2007;NaN
2008;NaN
2009;8.69
2010;7.79
2011;9.02
2012;8.48
2013;8.36
2014;10.1
2015;9.53
2016;9.18
2017;8.8
2018;10
2019;9.63
2020;9.26
