year;annualtemp
1964;8.79
1965;8.4
1966;9.93
1967;9.93
1968;9.41
1969;8.93
1970;9.03
1971;9.64
1972;9.46
1973;9.53
1974;10.43
1975;null
1976;null
1977;null
1978;9.13
1979;null
1980;8.71
1981;10.09
1982;9.98
1983;10.59
1984;9.55
1985;8.9
1986;9.53
1987;9.24
1988;10.49
1989;10.59
1990;10.7
1991;9.61
1992;11.12
1993;10.06
1994;11.51
1995;10.4
1996;8.82
1997;9.94
1998;10.67
1999;10.7
2000;11.68
2001;10.53
2002;11.28
2003;10.81
2004;10.27
2005;10.06
2006;10.63
2007;11.69
2008;11.46
2009;11.17
2010;10.01
2011;11.09
2012;11.17
2013;10.74
2014;11.96
2015;12.1
2016;11.56
2017;11.58
2018;12.47
2019;12.3
2020;11.86
