year;annualtemp
1949;9.5
1950;9.35
1951;9.44
1952;7.92
1953;9.18
1954;7.69
1955;7.92
1956;7.24
1957;8.62
1958;8.68
1959;8.74
1960;8.41
1961;9.29
1962;7.61
1963;7.53
1964;7.91
1965;7.52
1966;9.01
1967;9.19
1968;8.62
1969;8.3
1970;8.16
1971;8.89
1972;8.29
1973;8.34
1974;9.11
1975;9.17
1976;8.4
1977;8.9
1978;7.82
1979;8.57
1980;7.4
1981;8.84
1982;8.99
1983;9.71
1984;8.31
1985;7.83
1986;8.51
1987;8.03
1988;9.28
1989;9.65
1990;9.74
1991;8.67
1992;10.04
1993;9.15
1994;10.42
1995;9.06
1996;7.51
1997;null
1998;NaN
1999;9.3
2000;10.34
2001;9.07
2002;9.8
2003;9.58
2004;8.88
2005;8.76
2006;9.28
2007;10.37
2008;10.02
2009;9.63
2010;8.42
2011;9.88
2012;9.97
2013;9.17
2014;10.65
2015;10.81
2016;10.08
2017;10.16
2018;11.12
2019;11.06
2020;10.64
