year;annualtemp
1950;8.42
1951;8.46
1952;7.38
1953;7.7
1954;7.06
1955;7.03
1956;6.59
1957;8.15
1958;8.03
1959;7.5
1960;7.08
1961;7.65
1962;6.15
1963;6.82
1964;6.7
1965;6.84
1966;7.84
1967;8.1
1968;7.69
1969;7.55
1970;7.4
1971;null
1972;null
1973;null
1974;null
1975;null
1976;7.86
1977;8.34
1978;7.32
1979;7.82
1980;7.18
1981;8.22
1982;8.3
1983;8.93
1984;7.3
1985;7.47
1986;7.6
1987;7.69
1988;8.4
1989;8.65
1990;8.64
1991;7.48
1992;8.93
1993;8.21
1994;9.77
1995;8.33
1996;7.13
1997;8.04
1998;8.79
1999;8.86
2000;9.77
2001;8.78
2002;9.46
2003;8.67
2004;8.45
2005;8.04
2006;8.64
2007;9.39
2008;9.45
2009;8.97
2010;7.97
2011;9.33
2012;9.31
2013;9
2014;10
2015;10.02
2016;9.64
2017;9.52
2018;10.16
2019;10.34
2020;9.79
