year;annualtemp
1931;7.8
1932;8.32
1933;7.48
1934;9.16
1935;8.53
1936;8.79
1937;8.63
1938;8.26
1939;8.35
1940;7.07
1941;null
1942;null
1943;8.87
1944;8.21
1945;8.68
1946;8.97
1947;null
1948;NaN
1949;9.22
1950;9.22
1951;9.1
1952;7.5
1953;8.46
1954;7.86
1955;NaN
1956;7.33
1957;8.73
1958;8.46
1959;9.05
1960;8.4
1961;8.9
1962;7.35
1963;7.71
1964;7.95
1965;7.12
1966;8.61
1967;8.48
1968;7.91
1969;NaN
1970;8.05
1971;8.32
1972;null
1973;8.32
1974;9.13
1975;9.14
1976;8.67
1977;9
1978;7.72
1979;8.26
1980;7.54
1981;8.26
1982;NaN
1983;9.09
1984;8.17
1985;8.12
1986;8.36
1987;8.23
1988;9.31
1989;9.32
1990;9.66
1991;8.95
1992;10.31
1993;10
1994;10.66
1995;9.54
1996;8.67
1997;9.79
1998;9.87
1999;9.71
2000;10.57
2001;10.21
2002;10.78
2003;10.42
2004;9.7
2005;9.6
2006;9.99
2007;11.03
2008;10.74
2009;10.58
2010;9.81
2011;10.55
2012;10.61
2013;10.52
2014;11.52
2015;11.11
2016;11.02
2017;10.87
2018;11.64
2019;11.65
2020;11.12
