year;annualtemp
1940;null
1941;null
1942;null
1943;null
1944;null
1945;null
1946;null
1947;null
1948;9.89
1949;10.46
1950;10.43
1951;10.82
1952;9.56
1953;10.05
1954;8.99
1955;8.99
1956;8.33
1957;null
1958;9.91
1959;9.89
1960;10.01
1961;10.21
1962;8.74
1963;8.62
1964;9.24
1965;8.78
1966;10.39
1967;10.52
1968;9.85
1969;9.14
1970;9.4
1971;10.39
1972;10.15
1973;10.32
1974;10.87
1975;10.71
1976;9.96
1977;10.57
1978;9.09
1979;10.28
1980;9.23
1981;10.64
1982;10.47
1983;11.22
1984;9.67
1985;9.47
1986;10.11
1987;9.65
1988;10.62
1989;11.23
1990;10.7
1991;9.73
1992;11
1993;9.94
1994;11.91
1995;10.66
1996;10.05
1997;10.11
1998;11.17
1999;11.43
2000;12.04
2001;10.93
2002;11.72
2003;11.39
2004;10.74
2005;10.94
2006;11.55
2007;12.49
2008;11.72
2009;11.41
2010;10.18
2011;11.21
2012;11.57
2013;11.08
2014;12.23
2015;12.11
2016;11.63
2017;11.6
2018;12.43
2019;12.52
2020;11.92
