year;annualtemp
1937;10.43
1938;10.35
1939;10.35
1940;7.62
1941;8.86
1942;null
1943;null
1944;null
1945;null
1946;NaN
1947;NaN
1948;10.61
1949;11.07
1950;10.85
1951;11.33
1952;10.03
1953;10.63
1954;9.32
1955;9.54
1956;8.89
1957;10.39
1958;10.38
1959;10.33
1960;10.16
1961;10.63
1962;9.05
1963;9.15
1964;9.72
1965;9.33
1966;10.88
1967;10.93
1968;10.38
1969;9.85
1970;9.95
1971;10.53
1972;10.27
1973;10.37
1974;11.13
1975;11.19
1976;10.5
1977;10.9
1978;9.8
1979;10.5
1980;9.46
1981;10.95
1982;10.82
1983;11.52
1984;10.15
1985;9.55
1986;10.11
1987;9.75
1988;10.81
1989;11.13
1990;11.21
1991;10.1
1992;10.99
1993;10.04
1994;12.08
1995;10.84
1996;9.56
1997;10.54
1998;11.13
1999;11.27
2000;12.21
2001;11.14
2002;11.87
2003;11.48
2004;10.97
2005;11.35
2006;11.85
2007;12.79
2008;12.7
2009;12.39
2010;10.94
2011;12.04
2012;12.45
2013;11.92
2014;13.05
2015;12.93
2016;null
2017;null
2018;12.75
2019;12.72
2020;12.11
