year;annualtemp
1937;7.06
1938;6.45
1939;6
1940;5.15
1941;5.53
1942;6.09
1943;7.04
1944;5.46
1945;null
1946;6.34
1947;null
1948;null
1949;null
1950;null
1951;null
1952;null
1953;null
1954;null
1955;null
1956;null
1957;6.97
1958;6.75
1959;7.36
1960;6.86
1961;7.68
1962;5.75
1963;5.87
1964;6.73
1965;6.04
1966;6.98
1967;7.07
1968;6.46
1969;6.37
1970;6.09
1971;6.51
1972;6.6
1973;6.72
1974;7.22
1975;7
1976;6.85
1977;7.59
1978;6.62
1979;7.32
1980;6.19
1981;6.77
1982;7.17
1983;7.51
1984;6.39
1985;6.07
1986;6.45
1987;6.54
1988;7.43
1989;7.56
1990;7.29
1991;6.49
1992;7.64
1993;7.29
1994;8.9
1995;7.26
1996;6.37
1997;7.95
1998;7.51
1999;7.47
2000;8.3
2001;7.5
2002;8.4
2003;8.06
2004;7.36
2005;6.92
2006;7.82
2007;8.25
2008;8.27
2009;8.02
2010;6.83
2011;8.64
2012;7.92
2013;7.36
2014;9.04
2015;8.84
2016;8.62
2017;8.29
2018;9.2
2019;8.86
2020;8.93
