year;annualtemp
1949;7.23
1950;7.02
1951;6.87
1952;5.99
1953;6.83
1954;5.69
1955;6.09
1956;4.9
1957;6.91
1958;6.43
1959;7.24
1960;null
1961;7.47
1962;5.27
1963;5.55
1964;6.42
1965;5.68
1966;6.49
1967;6.66
1968;6.4
1969;6.2
1970;6.06
1971;6.16
1972;6.11
1973;5.76
1974;6.37
1975;6.4
1976;6.24
1977;6.76
1978;5.83
1979;6.32
1980;5.57
1981;6.09
1982;6.78
1983;6.65
1984;5.79
1985;5.91
1986;6.35
1987;6
1988;6.86
1989;6.82
1990;6.99
1991;6.02
1992;6.87
1993;6.54
1994;8.08
1995;6.47
1996;5.94
1997;7.14
1998;6.74
1999;6.72
2000;7.4
2001;7.13
2002;7.87
2003;7.65
2004;6.75
2005;6.33
2006;7.13
2007;7.62
2008;7.1
2009;7.15
2010;6.27
2011;7.95
2012;7.24
2013;6.69
2014;8.48
2015;7.91
2016;7.89
2017;7.5
2018;8.58
2019;8
2020;8.16
