year;annualtemp
1949;10.05
1950;9.89
1951;10.5
1952;9.22
1953;9.9
1954;8.67
1955;8.84
1956;8.05
1957;9.8
1958;9.74
1959;9.78
1960;9.76
1961;10.11
1962;8.6
1963;8.62
1964;8.89
1965;8.52
1966;null
1967;10.08
1968;9.78
1969;9.2
1970;9.04
1971;9.45
1972;9.26
1973;9.43
1974;10.13
1975;10.05
1976;9.4
1977;9.88
1978;8.7
1979;9.44
1980;8.31
1981;9.89
1982;9.78
1983;10.4
1984;9.36
1985;8.46
1986;9.31
1987;8.91
1988;9.91
1989;10.21
1990;9.87
1991;8.8
1992;10.17
1993;9.43
1994;10.88
1995;9.8
1996;8.29
1997;9.29
1998;10.05
1999;10.16
2000;11.14
2001;9.85
2002;10.76
2003;10.29
2004;9.86
2005;9.62
2006;10.15
2007;11.25
2008;11.1
2009;10.74
2010;9.52
2011;10.6
2012;11
2013;10.46
2014;11.87
2015;11.69
2016;11.2
2017;11.17
2018;12.12
2019;11.73
2020;11.46
