year;annualtemp
1954;6.39
1955;6.59
1956;5.73
1957;7.33
1958;6.94
1959;7.56
1960;6.88
1961;7.25
1962;5.77
1963;6.22
1964;6.59
1965;5.78
1966;7.09
1967;7.21
1968;6.52
1969;6.56
1970;6.52
1971;6.83
1972;6.7
1973;6.54
1974;7.27
1975;7.64
1976;6.84
1977;7.31
1978;6.01
1979;6.69
1980;5.99
1981;6.65
1982;7.51
1983;7.16
1984;6.4
1985;6.55
1986;6.67
1987;6.75
1988;7.48
1989;7.61
1990;7.59
1991;6.62
1992;7.88
1993;7.21
1994;8.69
1995;7.48
1996;6.6
1997;7.88
1998;7.85
1999;7.74
2000;8.64
2001;7.95
2002;8.75
2003;null
2004;null
2005;7.19
2006;null
2007;null
2008;8.61
2009;8.4
2010;7.67
2011;8.68
2012;8.68
2013;8.52
2014;9.51
2015;9.03
2016;8.9
2017;8.45
2018;9.21
2019;9.33
2020;8.87
