year;annualtemp
1962;7.41
1963;7.8
1964;8.26
1965;7.75
1966;9.02
1967;9.25
1968;8.66
1969;8.37
1970;8.45
1971;8.61
1972;8.59
1973;8.71
1974;9.7
1975;9.78
1976;8.76
1977;9.4
1978;8.08
1979;8.85
1980;8.24
1981;9.23
1982;9.24
1983;9.63
1984;8.57
1985;8.35
1986;8.64
1987;8.62
1988;9.54
1989;9.93
1990;9.7
1991;8.75
1992;10.25
1993;9.46
1994;10.66
1995;9.36
1996;8.42
1997;9.37
1998;9.91
1999;9.91
2000;10.98
2001;10.21
2002;10.92
2003;10.35
2004;9.87
2005;9.77
2006;10.05
2007;11
2008;10.59
2009;10.35
2010;9.45
2011;10.29
2012;10.6
2013;10.32
2014;11.3
2015;11.16
2016;10.66
2017;10.39
2018;11.04
2019;11.4
2020;10.66
