year;annualtemp
1937;6.45
1938;6.14
1939;null
1940;null
1941;null
1942;null
1943;7.38
1944;null
1945;null
1946;NaN
1947;NaN
1948;null
1949;7.47
1950;null
1951;7.03
1952;5.85
1953;6.94
1954;5.6
1955;5.56
1956;5
1957;6.66
1958;6.34
1959;6.96
1960;6.58
1961;6.36
1962;4.31
1963;null
1964;NaN
1965;null
1966;5.97
1967;6.12
1968;5.93
1969;5.71
1970;5.31
1971;6.2
1972;6.19
1973;5.66
1974;6.25
1975;6.29
1976;6.06
1977;6.89
1978;5.77
1979;6.21
1980;5.56
1981;5.92
1982;6.97
1983;6.83
1984;5.96
1985;6.14
1986;6.46
1987;6.33
1988;6.84
1989;7.25
1990;7.39
1991;6.63
1992;7.28
1993;7.04
1994;8.36
1995;6.78
1996;6.4
1997;7.79
1998;7.48
1999;7.4
2000;8.21
2001;7.4
2002;8.43
2003;8.07
2004;7.21
2005;6.84
2006;7.73
2007;8.39
2008;8.23
2009;7.91
2010;7.16
2011;8.57
2012;8.15
2013;7.97
2014;9.35
2015;8.85
2016;8.31
2017;7.12
2018;8.27
2019;7.68
2020;7.79
