year;annualtemp
1949;8.59
1950;8.66
1951;8.58
1952;7.7
1953;8.5
1954;7.39
1955;6.47
1956;5.9
1957;7.63
1958;7.37
1959;8.18
1960;7.56
1961;7.99
1962;6.4
1963;6.79
1964;6.93
1965;6.62
1966;7.93
1967;8.15
1968;7.62
1969;7.51
1970;7.11
1971;7.92
1972;7.52
1973;7.25
1974;8.28
1975;8.25
1976;7.74
1977;7.88
1978;6.71
1979;null
1980;6.47
1981;null
1982;8.04
1983;8.51
1984;7.26
1985;7.13
1986;7.82
1987;7.13
1988;8.19
1989;8.55
1990;8.46
1991;7.82
1992;8.91
1993;8.79
1994;10.05
1995;8.03
1996;6.76
1997;8
1998;8.46
1999;8.46
2000;9.11
2001;8.23
2002;9
2003;8.77
2004;8.02
2005;7.95
2006;8.39
2007;9.35
2008;9.11
2009;8.65
2010;7.6
2011;9.1
2012;8.7
2013;8.42
2014;9.91
2015;9.97
2016;9.23
2017;9.01
2018;10.24
2019;9.82
2020;9.51
