year;annualtemp
1937;9.17
1938;null
1939;null
1940;null
1941;8.07
1942;7.94
1943;9.14
1944;null
1945;8.9
1946;8.98
1947;9.06
1948;9.19
1949;9.15
1950;9.31
1951;9.32
1952;8.14
1953;9.04
1954;7.86
1955;7.94
1956;7.44
1957;8.84
1958;8.76
1959;9.19
1960;8.91
1961;9.35
1962;7.56
1963;7.53
1964;8.05
1965;7.62
1966;8.71
1967;8.27
1968;NaN
1969;8.52
1970;8.17
1971;8.96
1972;8.71
1973;8.6
1974;9.54
1975;9.36
1976;8.51
1977;9.25
1978;8.11
1979;8.7
1980;7.83
1981;8.61
1982;9.38
1983;9.63
1984;8.49
1985;8.46
1986;9.01
1987;8.49
1988;9.49
1989;9.75
1990;9.74
1991;8.76
1992;10.05
1993;9.35
1994;10.74
1995;9.27
1996;8.17
1997;9.69
1998;9.83
1999;9.82
2000;10.59
2001;9.65
2002;10.41
2003;9.97
2004;8.63
2005;8.65
2006;9.13
2007;10
2008;9.98
2009;9.63
2010;8.8
2011;9.79
2012;9.42
2013;9.34
2014;10.76
2015;10.48
2016;10.18
2017;9.88
2018;11.02
2019;10.75
2020;10.34
