year;annualtemp
1962;8.81
1963;8.61
1964;8.92
1965;8.66
1966;9.96
1967;10.04
1968;null
1969;null
1970;null
1971;null
1972;null
1973;null
1974;null
1975;null
1976;null
1977;null
1978;null
1979;null
1980;null
1981;null
1982;9.64
1983;10.65
1984;9.03
1985;8.95
1986;9.18
1987;9.06
1988;9.91
1989;10.17
1990;10.29
1991;9.07
1992;10.77
1993;9.7
1994;11.27
1995;9.85
1996;8.59
1997;9.81
1998;10.41
1999;10.35
2000;11.37
2001;10.54
2002;10.96
2003;10.68
2004;10.16
2005;9.85
2006;10.36
2007;11.2
2008;10.84
2009;10.42
2010;9.58
2011;10.58
2012;10.75
2013;10.25
2014;11.28
2015;11.55
2016;10.82
2017;10.89
2018;11.58
2019;11.76
2020;11.1
