year;annualtemp
1962;7.12
1963;6.63
1964;8.06
1965;7.15
1966;8.64
1967;8.4
1968;null
1969;7.91
1970;8.14
1971;8.59
1972;8.17
1973;8.43
1974;9.3
1975;8.99
1976;8.6
1977;9.07
1978;7.88
1979;8.51
1980;7.89
1981;8.6
1982;8.78
1983;8.95
1984;8.11
1985;7.64
1986;8.32
1987;8.21
1988;9.2
1989;9.32
1990;NaN
1991;NaN
1992;NaN
1993;NaN
1994;NaN
1995;null
1996;7.96
1997;9.22
1998;9.68
1999;9.77
2000;10.39
2001;9.61
2002;10.35
2003;9.92
2004;9.43
2005;9.08
2006;9.67
2007;10.65
2008;10.38
2009;10
2010;9.07
2011;10.46
2012;10.16
2013;9.87
2014;11.1
2015;11.2
2016;10.61
2017;10.43
2018;11.78
2019;null
2020;10.92
