year;annualtemp
1929;null
1930;null
1931;null
1932;null
1933;null
1934;null
1935;null
1936;null
1937;null
1938;null
1939;null
1940;null
1941;null
1942;null
1943;null
1944;null
1945;null
1946;null
1947;null
1948;null
1949;4.65
1950;5.03
1951;4.59
1952;null
1953;4.71
1954;3.38
1955;null
1956;2.7
1957;4.62
1958;4.2
1959;null
1960;3.93
1961;5.27
1962;3.11
1963;3.71
1964;null
1965;3.19
1966;4.25
1967;4.52
1968;4.02
1969;3.66
1970;3.55
1971;4.23
1972;3.82
1973;3.83
1974;4.26
1975;4.76
1976;3.87
1977;4.85
1978;3.64
1979;3.91
1980;3.21
1981;4.03
1982;4.88
1983;5.19
1984;3.66
1985;3.83
1986;4.03
1987;3.71
1988;4.35
1989;5.46
1990;5.24
1991;3.99
1992;5.48
1993;4.77
1994;5.86
1995;null
1996;null
1997;null
1998;4.99
1999;4.99
2000;5.96
2001;5.11
2002;5.82
2003;5.36
2004;4.5
2005;4.34
2006;5.42
2007;5.76
2008;5.49
2009;5.19
2010;4
2011;5.99
2012;5.34
2013;5.01
2014;6.12
2015;6.26
2016;5.67
2017;5.68
2018;6.03
2019;6.28
2020;6.25
