year;annualtemp
1937;null
1938;null
1939;null
1940;null
1941;null
1942;null
1943;null
1944;null
1945;null
1946;null
1947;null
1948;null
1949;8.94
1950;8.89
1951;null
1952;8.18
1953;8.68
1954;null
1955;7.6
1956;6.91
1957;8.19
1958;7.99
1959;8.33
1960;8.12
1961;8.5
1962;7.15
1963;7.13
1964;7.59
1965;7.35
1966;8.55
1967;8.75
1968;8.02
1969;7.9
1970;7.9
1971;null
1972;7.85
1973;8.03
1974;8.9
1975;8.72
1976;8.33
1977;8.8
1978;7.52
1979;8.4
1980;7.66
1981;8.1
1982;8
1983;8.07
1984;7.13
1985;6.41
1986;7.4
1987;7.17
1988;8.5
1989;8.53
1990;8.5
1991;7.31
1992;8.81
1993;8.17
1994;9.72
1995;8.34
1996;6.97
1997;8.38
1998;9.35
1999;9.43
2000;10.08
2001;9.2
2002;10.04
2003;9.47
2004;9.05
2005;8.8
2006;9.13
2007;10.32
2008;10.15
2009;9.99
2010;8.9
2011;10.19
2012;9.91
2013;9.67
2014;10.98
2015;11.02
2016;10.38
2017;10.09
2018;11.47
2019;10.81
2020;10.55
