year;annualtemp
1939;4.9
1940;3.68
1941;4.51
1942;null
1943;null
1944;NaN
1945;NaN
1946;null
1947;6.04
1948;6.13
1949;5.86
1950;5.36
1951;NaN
1952;NaN
1953;NaN
1954;NaN
1955;NaN
1956;NaN
1957;5.45
1958;5.22
1959;5.88
1960;5.57
1961;6.58
1962;3.66
1963;3.71
1964;4.83
1965;4.03
1966;4.67
1967;5.17
1968;4.81
1969;4.84
1970;4.14
1971;5.13
1972;5.04
1973;4.84
1974;4.83
1975;5.33
1976;5.14
1977;5.4
1978;4.65
1979;4.8
1980;4.33
1981;4.86
1982;5.73
1983;5.95
1984;4.65
1985;5.11
1986;5.28
1987;5.38
1988;6.04
1989;6.57
1990;6.16
1991;5.29
1992;6.04
1993;5.93
1994;7.19
1995;5.65
1996;5.87
1997;6.81
1998;6.02
1999;4.92
2000;5.43
2001;5.37
2002;6.73
2003;6.72
2004;5.84
2005;5.47
2006;6.23
2007;6.87
2008;6.36
2009;6.33
2010;5.38
2011;7.46
2012;6.48
2013;6.38
2014;7.45
2015;7.55
2016;7.04
2017;6.95
2018;7.64
2019;7.02
2020;7.23
